ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" CustomFormatter=\"\" EnforceUniqueValues=\"FALSE\" Indexed=\"FALSE\" />","<Field DisplayName=\"תחנת בסיס\" Format=\"Dropdown\" IsModern=\"TRUE\" Name=\"_x05ea__x05d7__x05e0__x05ea__x05\" Title=\"תחנת בסיס\" Type=\"Boolean\" ID=\"{c17ef3c3-eb18-4b22-8685-e6a36563dd19}\" StaticName=\"_x05ea__x05d7__x05e0__x05ea__x05\"><Default>0</Default></Field>","<Field CommaSeparator=\"TRUE\" CustomUnitOnRight=\"TRUE\" DisplayName=\"אינדקס\" Format=\"Dropdown\" IsModern=\"TRUE\" Name=\"_x05d0__x05d9__x05e0__x05d3__x05\" Percentage=\"FALSE\" Title=\"אינדקס\" Type=\"Number\" Unit=\"None\" ID=\"{b8951372-5905-4b74-828a-513d11e99fe6}\" StaticName=\"_x05d0__x05d9__x05e0__x05d3__x05\" />","<Field ClientSideComponentId=\"00000000-0000-0000-0000-000000000000\" CommaSeparator=\"TRUE\" CustomUnitOnRight=\"TRUE\" Description=\"הזמן שלוקח בדרך כלל לנהג להגיע מתחילת המסלול לנקודה זו (כאשר הוא עובר בכל התחנות). התחנה הראשונה תוגדר כ0.   \" DisplayName=\"זמן משוער\" Format=\"Dropdown\" Name=\"_x05d6__x05de__x05df__x05de__x05\" Percentage=\"FALSE\" Title=\"זמן משוער\" Type=\"Number\" Unit=\"None\" ID=\"{f58f32ec-a34d-4c8e-a09f-17650e6389b2}\" StaticName=\"_x05d6__x05de__x05df__x05de__x05\" />","<Field DisplayName=\"סטטוס גיבוי\" Format=\"Dropdown\" IsModern=\"TRUE\" MaxLength=\"255\" Name=\"_x05e1__x05d8__x05d8__x05d5__x05\" Title=\"סטטוס גיבוי\" Type=\"Text\" ID=\"{bd5ef55a-62a2-4eea-99da-17fd32bdd629}\" StaticName=\"_x05e1__x05d8__x05d8__x05d5__x05\"><Default>נוצר</Default></Field>","<Field ID=\"{82642ec8-ef9b-478f-acf9-31f7d45fbc31}\" ReadOnly=\"TRUE\" Type=\"Computed\" Name=\"LinkTitle\" DisplayName=\"Title\" DisplayNameSrcField=\"Title\" ClassInfo=\"Menu\" AuthoringInfo=\"(linked to item with edit menu)\" ListItemMenuAllowed=\"Required\" LinkToItemAllowed=\"Prohibited\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"LinkTitle\" FromBaseType=\"TRUE\"><FieldRefs><FieldRef Name=\"Title\" /><FieldRef Name=\"LinkTitleNoMenu\" /><FieldRef Name=\"_EditMenuTableStart2\" /><FieldRef Name=\"_EditMenuTableEnd\" /></FieldRefs><DisplayPattern><FieldSwitch><Expr><GetVar Name=\"FreeForm\" /></Expr><Case Value=\"TRUE\"><Field Name=\"LinkTitleNoMenu\" /></Case><Default><HTML><![CDATA[<div class=\"ms-vb itx\" onmouseover=\"OnItem(this)\" CTXName=\"ctx]]></HTML><Field Name=\"_EditMenuTableStart2\" /><HTML><![CDATA[\">]]></HTML><Field Name=\"LinkTitleNoMenu\" /><HTML><![CDATA[</div>]]></HTML><HTML><![CDATA[<div class=\"s4-ctx\" onmouseover=\"OnChildItem(this.parentNode); return false;\">]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[<a onfocus=\"OnChildItem(this.parentNode.parentNode); return false;\" onclick=\"PopMenuFromChevron(event); return false;\" href=\"javascript:;\" title=\"Open Menu\"></a>]]></HTML><HTML><![CDATA[<span>&nbsp;</span>]]></HTML><HTML><![CDATA[</div>]]></HTML></Default></FieldSwitch></DisplayPattern></Field>"]}
"מזהה","כותרת","קו","קו: מזהה","תחנת בסיס","אינדקס","זמן משוער","סטטוס גיבוי","נוצר","השתנה"
"1","בית הדפוס","מירושלים לתל אביב","2","נכון",,"0","נוצר","2024-01-16T11:57:16Z","2024-01-16T11:57:16Z"
"2","מבשרת ציון","מירושלים לתל אביב","2","לא נכון","1","14","נוצר","2024-01-16T11:57:17Z","2024-01-16T11:57:17Z"
"3","נווה אילן","מירושלים לתל אביב","2","לא נכון","2","20","נוצר","2024-01-16T11:57:18Z","2024-01-16T11:57:18Z"
"4","שורש","מירושלים לתל אביב","2","לא נכון","3","25","נוצר","2024-01-16T11:57:20Z","2024-01-16T11:57:20Z"
"5","שפירים","מירושלים לתל אביב","2","לא נכון","5","51","נוצר","2024-01-16T11:57:20Z","2024-02-15T09:41:10Z"
"6","לה גווארדיה","מירושלים לתל אביב","2","לא נכון","6","65","נוצר","2024-01-16T11:57:21Z","2024-07-14T05:42:19Z"
"7","תחנת דלק איילון","מירושלים לתל אביב","2","לא נכון","7","78","נוצר","2024-01-16T11:57:22Z","2024-07-14T05:50:20Z"
"8","רכבת ההגנה מתחת לגשר","מתל אביב לירושלים","1","לא נכון","3","10","נוצר","2024-01-16T11:57:23Z","2024-12-08T13:05:03Z"
"9","שפירים","מתל אביב לירושלים","1","לא נכון","4","15","נוצר","2024-01-16T11:57:24Z","2024-12-08T13:05:18Z"
"10","נווה אילן","מתל אביב לירושלים","1","לא נכון","6","45","נוצר","2024-01-16T11:57:26Z","2024-12-09T14:13:14Z"
"11","לטרון","מתל אביב לירושלים","1","לא נכון","5","35","נוצר","2024-01-16T11:57:26Z","2024-12-09T14:13:06Z"
"12","בית הדפוס","מתל אביב לירושלים","1","נכון",,"80","נוצר","2024-01-16T11:57:27Z","2024-12-08T13:06:13Z"
"13","תחנת דלק איילון","מתל אביב לירושלים","1","לא נכון","1","0","נוצר","2024-01-16T11:57:28Z","2024-04-08T06:38:13Z"
"14","לטרון","מירושלים לתל אביב","2","לא נכון","4","40","נוצר","2024-02-05T08:58:24Z","2024-02-05T08:58:24Z"
"18","פארק נעימי",,,"נכון",,"27","נוצר","2024-04-08T06:01:04Z","2024-04-08T06:01:04Z"
"19","תחנת דלק איילון",,,"לא נכון","1","0","נוצר","2024-04-08T06:01:53Z","2024-04-08T06:01:53Z"
"20","רכבת ההגנה מתחת לגשר",,,"לא נכון","3","7","נוצר","2024-04-08T06:02:37Z","2024-06-06T12:32:41Z"
"21","פארק נעימי",,,"נכון",,"0","נוצר","2024-04-08T06:03:20Z","2024-04-08T06:03:20Z"
"22","רכבת ההגנה מתחת לגשר",,,"לא נכון","1","20","נוצר","2024-04-08T06:04:02Z","2024-04-08T06:04:02Z"
"23","תחנת דלק איילון",,,"לא נכון","2","27","נוצר","2024-04-08T06:04:30Z","2024-04-08T06:04:30Z"
"24","ירידה לאיילון דרום",,,"לא נכון","2","5","נוצר","2024-06-06T12:33:02Z","2024-06-06T12:33:31Z"
"25","ירידה לאיילון דרום","מתל אביב לירושלים","1","לא נכון","2","3","נוצר","2024-06-06T12:35:24Z","2024-12-08T13:04:48Z"
"26","פארק נעימי","מנעימי לתל אביב","7","נכון",,"0","נוצר","2024-10-28T13:26:40Z","2024-10-28T13:26:40Z"
"27","מסובים","מנעימי לתל אביב","7","לא נכון","1","10","נוצר","2024-10-28T13:27:06Z","2024-10-28T13:27:06Z"
"28","דרך הטייסים","מנעימי לתל אביב","7","לא נכון","2","15","נוצר","2024-10-28T13:27:22Z","2024-10-28T13:27:22Z"
"29","לה-גוורדיה","מנעימי לתל אביב","7","לא נכון","3","25","נוצר","2024-10-28T13:27:39Z","2024-10-28T13:27:39Z"
"30","רכבת השלום","מנעימי לתל אביב","7","לא נכון","4","35","נוצר","2024-10-28T13:27:59Z","2024-10-28T13:27:59Z"
